-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.028,  0.148
-183.800, 80.199, 0.025,  0.181
-183.800, 80.198, 0.025,  0.214
-183.800, 80.197, 0.027,  0.247
-183.800, 80.196, 0.034,  0.280
-183.800, 80.194, 0.100,  0.313
-183.799, 80.188, 0.173,  0.346
-183.799, 80.178, 0.313,  0.379
-183.797, 80.162, 0.509,  0.412
-183.796, 80.142, 0.607,  0.445
-183.794, 80.117, 0.746,  0.478
-183.791, 80.085, 1.005,  0.511
-183.788, 80.044, 1.230,  0.544
-183.785, 79.997, 1.425,  0.577
-183.781, 79.944, 1.594,  0.610
-183.777, 79.887, 1.736,  0.643
-183.772, 79.826, 1.852,  0.676
-183.767, 79.762, 1.937,  0.709
-183.762, 79.696, 1.991,  0.742
-183.757, 79.630, 2.017,  0.775
-183.752, 79.563, 2.016,  0.808
-183.747, 79.498, 1.994,  0.841
-183.742, 79.433, 1.961,  0.874
-183.736, 79.370, 1.925,  0.907
-183.731, 79.308, 1.888,  0.940
-183.726, 79.247, 1.853,  0.973
-183.721, 79.187, 1.822,  1.006
-183.716, 79.128, 1.796,  1.039
-183.711, 79.069, 1.776,  1.072
-183.706, 79.011, 1.762,  1.105
-183.701, 78.953, 1.755,  1.138
-183.695, 78.895, 1.753,  1.171
-183.690, 78.837, 1.757,  1.204
-183.685, 78.779, 1.765,  1.237
-183.679, 78.720, 1.777,  1.270
-183.674, 78.660, 1.791,  1.303
-183.668, 78.600, 1.806,  1.336
-183.663, 78.540, 1.821,  1.369
-183.657, 78.479, 1.836,  1.402
-183.651, 78.418, 1.849,  1.435
-183.645, 78.356, 1.860,  1.468
-183.640, 78.294, 1.868,  1.501
-183.634, 78.232, 1.875,  1.534
-183.628, 78.169, 1.879,  1.567
-183.622, 78.107, 1.881,  1.600
-183.616, 78.045, 1.882,  1.633
-183.610, 77.982, 1.881,  1.666
-183.603, 77.920, 1.880,  1.699
-183.597, 77.858, 1.879,  1.732
